Content_ID,Created_At,Status,Hook_Class,Destination_Intent,Pillar,Topic,Destination_URL,Title,Caption_1,Caption_2,Caption_3,Description_With_Hashtags,Overlay_1,Overlay_2,Has_Text_Overlay,Primary_CTA,Visual_Preset,Image_Prompt,UTM_URL,Quality_Score,Quality_Flags,AutoFixSuggestions,Hook_Class_Uniqueness_Flag,Intent_Balance_Flag,Visual_Risk_Flags,Naturalness_Flag,Human_Approved,Scheduled_At,Posted_At
PIN-001,2026-02-23T09:30:18.839Z,draft,BeforeAfter,Inspire,RenterFriendly,renterfriendly-beforeafter-1,/start-here,BeforeAfter for RenterFriendly: renter-safe update under $75,You want your deposit back and still want the bathroom to feel finished. This BeforeAfter plan stays under $75.,"You get a cleaner, calmer bathroom without permanent changes. Swap temporary hardware and reset high-traffic zones.",Save this plan for later.,"You want your deposit back and still want the bathroom to feel finished. This BeforeAfter plan stays under $75. You get a cleaner, calmer bathroom without permanent changes. Swap temporary hardware and reset high-traffic zones. Save this plan for later. #bathroomdiy #rentersafe #budgetdecor #renterfriendly #nodrill #apartmentdecor #beforeafter",BeforeAfter under $75,Renter-safe path,true,Save this plan for later,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, RenterFriendly styling, matte tile textures, soft daylight, clean composition with text safe area",/start-here?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-001_beforeafter_inspire,100,,,true,true,,true,false,2026-02-23T00:00:00.000Z,
PIN-002,2026-02-23T09:30:18.839Z,draft,Checklist,Teach,BudgetDIY,budgetdiy-checklist-2,/hub/renter-friendly-upgrades,Checklist for BudgetDIY: renter-safe update under $150,You want visible change but every home project feels expensive. This Checklist plan stays under $150.,You get high-impact updates without blowing your monthly budget. Use one anchor fix plus one support layer under a hard budget cap.,Use this exact checklist.,You want visible change but every home project feels expensive. This Checklist plan stays under $150. You get high-impact updates without blowing your monthly budget. Use one anchor fix plus one support layer under a hard budget cap. Use this exact checklist. #bathroomdiy #rentersafe #budgetdecor #budgetdiy #cheapdecor #diyhomeprojects #checklist,Checklist under $150,Renter-safe path,true,Use this exact checklist,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, BudgetDIY styling, matte tile textures, soft daylight, clean composition with text safe area",/hub/renter-friendly-upgrades?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-002_checklist_teach,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-23T03:00:00.000Z,
PIN-003,2026-02-23T09:30:18.839Z,draft,MistakesToAvoid,Solve,SmallSpace,smallspace-mistakestoavoid-3,/hub/budget-diy-transformations,MistakesToAvoid for SmallSpace: renter-safe update under $225,Tiny layouts make daily routines feel cramped and frustrating. This MistakesToAvoid plan stays under $225.,You get smoother movement and less visual stress in tight spaces. Re-route one clutter point and create one clear landing zone.,Use the decision tree now.,Tiny layouts make daily routines feel cramped and frustrating. This MistakesToAvoid plan stays under $225. You get smoother movement and less visual stress in tight spaces. Re-route one clutter point and create one clear landing zone. Use the decision tree now. #bathroomdiy #rentersafe #budgetdecor #smallbathroom #smallspacehacks #tinybathroom #mistakestoavoid,MistakesToAvoid under $225,Renter-safe path,true,Use the decision tree now,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, SmallSpace styling, matte tile textures, soft daylight, clean composition with text safe area",/hub/budget-diy-transformations?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-003_mistakestoavoid_solve,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-23T06:00:00.000Z,
PIN-004,2026-02-23T09:30:18.839Z,draft,QuickWin,Shop,StorageOrganization,storageorganization-quickwin-4,/hub/small-bathroom-space-hacks,QuickWin for StorageOrganization: renter-safe update under $300,Counters and cabinets refill with clutter within days. This QuickWin plan stays under $300.,You save time each morning because everything has a predictable home. Build a simple category system that survives real daily use.,Compare picks by budget.,Counters and cabinets refill with clutter within days. This QuickWin plan stays under $300. You save time each morning because everything has a predictable home. Build a simple category system that survives real daily use. Compare picks by budget. #bathroomdiy #rentersafe #budgetdecor #bathroomstorage #organizingtips #declutterhome #quickwin,QuickWin under $300,Renter-safe path,true,Compare picks by budget,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, StorageOrganization styling, matte tile textures, soft daylight, clean composition with text safe area",/hub/small-bathroom-space-hacks?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-004_quickwin_shop,100,,,true,true,,true,false,2026-02-23T09:00:00.000Z,
PIN-005,2026-02-23T09:30:18.839Z,draft,BudgetBreakdown,Subscribe,Styling,styling-budgetbreakdown-5,/hub/storage-and-clutter-to-calm,BudgetBreakdown for Styling: renter-safe update under $75,You want personality without making the room feel busier. This BudgetBreakdown plan stays under $75.,"You get a bathroom that looks intentional, not expensive. Use one color rule and one texture layer for instant cohesion.",Join weekly bathroom plans.,"You want personality without making the room feel busier. This BudgetBreakdown plan stays under $75. You get a bathroom that looks intentional, not expensive. Use one color rule and one texture layer for instant cohesion. Join weekly bathroom plans. #bathroomdiy #rentersafe #budgetdecor #bathroomstyling #colorformula #maximalistdecor #budgetbreakdown",BudgetBreakdown under $75,Renter-safe path,true,Join weekly bathroom plans,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, Styling styling, matte tile textures, soft daylight, clean composition with text safe area",/hub/storage-and-clutter-to-calm?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-005_budgetbreakdown_subscribe,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-23T23:00:00.000Z,
PIN-006,2026-02-23T09:30:18.839Z,draft,StepByStepHowTo,Inspire,PlantsBiophilic,plantsbiophilic-stepbystephowto-6,/start-here,StepByStepHowTo for PlantsBiophilic: renter-safe update under $150,"Plants die quickly in low-light, humid bathrooms. This StepByStepHowTo plan stays under $150.",You get greenery that actually survives and softens the space. Match plants to light + humidity constraints before styling.,Start with this quick reset.,"Plants die quickly in low-light, humid bathrooms. This StepByStepHowTo plan stays under $150. You get greenery that actually survives and softens the space. Match plants to light + humidity constraints before styling. Start with this quick reset. #bathroomdiy #rentersafe #budgetdecor #bathroomplants #biophilicdesign #plantstyling #stepbystephowto",StepByStepHowTo under $150,Renter-safe path,true,Start with this quick reset,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, PlantsBiophilic styling, matte tile textures, soft daylight, clean composition with text safe area",/hub/styling-mirrors-lighting-color?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-006_stepbystephowto_inspire,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-24T02:00:00.000Z,
PIN-007,2026-02-23T09:30:18.839Z,draft,ProductRoundup,Teach,RenterFriendly,renterfriendly-productroundup-7,/hub/renter-friendly-upgrades,ProductRoundup for RenterFriendly: renter-safe update under $225,You want your deposit back and still want the bathroom to feel finished. This ProductRoundup plan stays under $225.,"You get a cleaner, calmer bathroom without permanent changes. Swap temporary hardware and reset high-traffic zones.",Follow this step-by-step guide.,"You want your deposit back and still want the bathroom to feel finished. This ProductRoundup plan stays under $225. You get a cleaner, calmer bathroom without permanent changes. Swap temporary hardware and reset high-traffic zones. Follow this step-by-step guide. #bathroomdiy #rentersafe #budgetdecor #renterfriendly #nodrill #apartmentdecor #productroundup",ProductRoundup under $225,Renter-safe path,true,Follow this step-by-step guide,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, RenterFriendly styling, matte tile textures, soft daylight, clean composition with text safe area",/hub/bathroom-plants-biophilic-vibe?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-007_productroundup_teach,100,,,true,true,,true,false,2026-02-24T05:00:00.000Z,
PIN-008,2026-02-23T09:30:18.839Z,draft,PlantPicker,Solve,BudgetDIY,budgetdiy-plantpicker-8,/hub/budget-diy-transformations,PlantPicker for BudgetDIY: renter-safe update under $300,You want visible change but every home project feels expensive. This PlantPicker plan stays under $300.,You get high-impact updates without blowing your monthly budget. Use one anchor fix plus one support layer under a hard budget cap.,Choose your best-fit path.,You want visible change but every home project feels expensive. This PlantPicker plan stays under $300. You get high-impact updates without blowing your monthly budget. Use one anchor fix plus one support layer under a hard budget cap. Choose your best-fit path. #bathroomdiy #rentersafe #budgetdecor #budgetdiy #cheapdecor #diyhomeprojects #plantpicker,PlantPicker under $300,Renter-safe path,true,Choose your best-fit path,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, BudgetDIY styling, matte tile textures, soft daylight, clean composition with text safe area",/lead-magnets/plant-picker?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-008_plantpicker_solve,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-24T08:00:00.000Z,
PIN-009,2026-02-23T09:30:18.839Z,draft,RenterHack,Shop,SmallSpace,smallspace-renterhack-9,/hub/small-bathroom-space-hacks,RenterHack for SmallSpace: renter-safe update under $75,Tiny layouts make daily routines feel cramped and frustrating. This RenterHack plan stays under $75.,You get smoother movement and less visual stress in tight spaces. Re-route one clutter point and create one clear landing zone.,Shop the under-$150 tier.,Tiny layouts make daily routines feel cramped and frustrating. This RenterHack plan stays under $75. You get smoother movement and less visual stress in tight spaces. Re-route one clutter point and create one clear landing zone. Shop the under-$150 tier. #bathroomdiy #rentersafe #budgetdecor #smallbathroom #smallspacehacks #tinybathroom #renterhack,RenterHack under $75,Renter-safe path,true,Shop the under-$150 tier,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, SmallSpace styling, matte tile textures, soft daylight, clean composition with text safe area",/products/renter-bathroom-upgrade-blueprint?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-009_renterhack_shop,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-24T22:00:00.000Z,
PIN-010,2026-02-23T09:30:18.839Z,draft,SmallSpaceTrick,Subscribe,StorageOrganization,storageorganization-smallspacetrick-10,/hub/storage-and-clutter-to-calm,SmallSpaceTrick for StorageOrganization: renter-safe update under $150,Counters and cabinets refill with clutter within days. This SmallSpaceTrick plan stays under $150.,You save time each morning because everything has a predictable home. Build a simple category system that survives real daily use.,Get the free plant picker.,Counters and cabinets refill with clutter within days. This SmallSpaceTrick plan stays under $150. You save time each morning because everything has a predictable home. Build a simple category system that survives real daily use. Get the free plant picker. #bathroomdiy #rentersafe #budgetdecor #bathroomstorage #organizingtips #declutterhome #smallspacetrick,SmallSpaceTrick under $150,Renter-safe path,true,Get the free plant picker,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, StorageOrganization styling, matte tile textures, soft daylight, clean composition with text safe area",/products/bathroom-plant-picks-upgrade?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-010_smallspacetrick_subscribe,100,,,true,true,,true,false,2026-02-25T01:00:00.000Z,
